Distributor Code,Distributor Name,Depot Name,Original Delivery,Original Delivery Day,Original Modified,Original Modified Day,Reason,Raised By
12399,M/S PRIME WEST MARKETING,D113 - Kanpur,11/09/2023,Monday,NA,,Normal PDP,
12424,S.L.V.MARKETING,D673 - Bangalore,11/09/2023,Monday,NA,,Normal PDP,
12429,AVI SALES PROMOTERS,D117 - Zirakpur,11/09/2023,Monday,NA,,Normal PDP,
12435,M/S PRIME WEST MARKETING,D113 - Kanpur,11/09/2023,Monday,NA,,Normal PDP,
12450,S S AGENCIES,D676 - Coimbatore,11/09/2023,Monday,NA,,Normal PDP,
12490,BROTHER ENTERPRISES,D117 - Zirakpur,11/09/2023,Monday,NA,,Normal PDP,
12529,GLAIM ASSOCIATES LLP,D674 - Chennai,11/09/2023,Monday,NA,,Normal PDP,
12551,LYNKS LOGISTICS LIMITED,D354 - Ahmedabad,11/09/2023,Monday,NA,,Normal PDP,
12563,JAI DURGA ELECTRICALS,D117 - Zirakpur,11/09/2023,Monday,NA,,Normal PDP,
12619,AAKASH ENTERPRISE,D354 - Ahmedabad,11/09/2023,Monday,NA,,Normal PDP,
12620,M/s Baijnath Trading Company,D113 - Kanpur,11/09/2023,Monday,NA,,Normal PDP,
12832,LOKENATH ENTERPRISE,D231 - Kolkata 1,11/09/2023,Monday,NA,,Normal PDP,
12843,B G S Enterprises,D673 - Bangalore,11/09/2023,Monday,NA,,Normal PDP,
12869,TRADELINK DISTRIBUTION,D356 - Bhiwandi 2,11/09/2023,Monday,NA,,Normal PDP,
12883,DN & SONS,D115 - Rothak,11/09/2023,Monday,NA,,Normal PDP,
12884,M/S SINGHAL ENTERPRISES,D112 - Ghaziabad,11/09/2023,Monday,NA,,Normal PDP,
12910,AYRA AGENCIES,D113 - Kanpur,11/09/2023,Monday,NA,,Normal PDP,
12957,SHREE LAKSHMI DISTRIBUTORS,D314 - Jaipur,11/09/2023,Monday,NA,,Normal PDP,
12966,Man Distributors,D464 - Indore,11/09/2023,Monday,NA,,Normal PDP,
13023,ACHIN SADHUKHA & SONS,D231 - Kolkata 1,11/09/2023,Monday,NA,,Normal PDP,
13024,M.S. AGENCIES,D530 - Hyderabad,11/09/2023,Monday,NA,,Normal PDP,
13028,SHRI SAI TRADERS,D461 - Pune,11/09/2023,Monday,NA,,Normal PDP,
13098,YLN AGENCIES,D530 - Hyderabad,11/09/2023,Monday,NA,,Normal PDP,
13105,EKTA KIRANA AND GENRAL STORES,D248 - Nagpur II,11/09/2023,Monday,NA,,Normal PDP,
13126,VAIDYANTI ENTERPRISES,D463 - Nagpur,11/09/2023,Monday,NA,,Normal PDP,
13155,M/S. PRIDE MARKETING,D463 - Nagpur,11/09/2023,Monday,NA,,Normal PDP,
13156,M/S. PRIDE MARKETING(SD),D463 - Nagpur,11/09/2023,Monday,NA,,Normal PDP,
13165,M/S SAKSHI AGENCIES,D463 - Nagpur,11/09/2023,Monday,NA,,Normal PDP,
13169,BUBUNA DISTRIBUTERS,D535 - Cuttack,11/09/2023,Monday,NA,,Normal PDP,
13171,LAMBA AGENCY,D248 - Nagpur II,11/09/2023,Monday,NA,,Normal PDP,
13172,MANISH ENTERPRISES,D248 - Nagpur II,11/09/2023,Monday,NA,,Normal PDP,
13177,M/S AGENCY CENTER,D314 - Jaipur,11/09/2023,Monday,NA,,Normal PDP,
13178,KARAN TRADERS,D463 - Nagpur,11/09/2023,Monday,NA,,Normal PDP,
13188,SAWARIYA FUTUREWORKS LIMITED,D461 - Pune,11/09/2023,Monday,NA,,Normal PDP,
13201,M/S VIJAY TRADERS,D113 - Kanpur,11/09/2023,Monday,NA,,Normal PDP,
13206,TIRUPATI BALAJEE,D233 - Patna,11/09/2023,Monday,NA,,Normal PDP,
13208,SHANKAR HARI MADHAV AND SONS,D112 - Ghaziabad,11/09/2023,Monday,NA,,Normal PDP,
13209,A A ENTERPRISES,D115 - Rothak,11/09/2023,Monday,NA,,Normal PDP,
13252,Ntex transportation,D464 - Indore,11/09/2023,Monday,NA,,Normal PDP,
13315,MA MANSA TRADING CO,D115 - Rothak,11/09/2023,Monday,NA,,Normal PDP,
13372,SHREE BROTHERS,D112 - Ghaziabad,11/09/2023,Monday,NA,,Normal PDP,
13375,VRUSHABH AGENCIES,D3A4 - Solapur,11/09/2023,Monday,NA,,Normal PDP,
13407,BHAWANI BHANDAR,D233 - Patna,11/09/2023,Monday,NA,,Normal PDP,
13409,N.K.TRADERS,D314 - Jaipur,11/09/2023,Monday,NA,,Normal PDP,
13452,TOUCHSTONE SERVICES PRIVATE,D248 - Nagpur II,11/09/2023,Monday,NA,,Normal PDP,
13457,PASHUPATINATH AGENCIES,D463 - Nagpur,11/09/2023,Monday,NA,,Normal PDP,
13478,LYNKS LOGISTICS LIMITED,D115 - Rothak,11/09/2023,Monday,NA,,Normal PDP,
13496,ABHISHEK TRADING COMPANY (SD),D314 - Jaipur,11/09/2023,Monday,NA,,Normal PDP,
135,J.K. AGENCIES,D233 - Patna,11/09/2023,Monday,NA,,Normal PDP,
13533,Retail Solutions,D3A4 - Solapur,11/09/2023,Monday,NA,,Normal PDP,
13536,LYNKS LOGISTICS LIMITED (J),D356 - Bhiwandi 2,11/09/2023,Monday,NA,,Normal PDP,
13580,NAVDURGA KIRANA,D233 - Patna,11/09/2023,Monday,NA,,Normal PDP,
13590,ABDUL HUSEN ADAMJI,D248 - Nagpur II,11/09/2023,Monday,NA,,Normal PDP,
13591,A and S ENTERPRISES,D117 - Zirakpur,11/09/2023,Monday,NA,,Normal PDP,
13592,A and S Enterprises,D117 - Zirakpur,11/09/2023,Monday,NA,,Normal PDP,
13593,Modi Enterprises,D248 - Nagpur II,11/09/2023,Monday,NA,,Normal PDP,
13602,GUNJAN TRADING COMPANY,D356 - Bhiwandi 2,11/09/2023,Monday,NA,,Normal PDP,
13698,J J COMPANY,D314 - Jaipur,11/09/2023,Monday,NA,,Normal PDP,
13718,SWASTIK ENTERPRISES,D535 - Cuttack,11/09/2023,Monday,NA,,Normal PDP,
13737,Geeta Traders,D231 - Kolkata 1,11/09/2023,Monday,NA,,Normal PDP,
13820,N.V. ENTERPRISES,D314 - Jaipur,11/09/2023,Monday,NA,,Normal PDP,
13821,ABM ASSOCIATES,D236 - Guwahati,11/09/2023,Monday,NA,,Normal PDP,
13851,NTEX TRANSPORTATION SERVICES PVT.LT,D354 - Ahmedabad,11/09/2023,Monday,NA,,Normal PDP,
13861,VISHNU DISTRIBUTORS,D461 - Pune,11/09/2023,Monday,NA,,Normal PDP,
13906,YLN Agencies,D530 - Hyderabad,11/09/2023,Monday,NA,,Normal PDP,
13907,Lynks Logistics Limited,D231 - Kolkata 1,11/09/2023,Monday,NA,,Normal PDP,
13912,KAMALA TRADERS,D234 - Ranchi,11/09/2023,Monday,NA,,Normal PDP,
13927,JAYANTH MARKETINGS,D673 - Bangalore,11/09/2023,Monday,NA,,Normal PDP,
13932,SHREEKHETRA ENTERPRISES,D535 - Cuttack,11/09/2023,Monday,NA,,Normal PDP,
1417,JIVRAJ HIRACHAND GANDHI & SONS,D3A4 - Solapur,11/09/2023,Monday,NA,,Normal PDP,
