PlantCode,SkuCode,ParentSkuCode,ProposedQty,UnitPrice,UnitPerCase,AllocationCode,Allocatedqty,InQTY,SkuFlag,CustomerPDP,Createdby,CustomerCode,Ponumber,PoDate,AllocationCode1,AllocatedQty_TO,Sales Unit,DeliveryDate,ReasonCode,StorageLocation,SUB,CustomerType(SD/DD),ASMCode,CustomerType,ShrinkSize,CustomerPDP1,TrapZone,MOQ,Brand,Batchno,RemLife,ChildSku_Code,ChildSku_AllocatedQty,
D676,721579,718297,24.00,6180.72,384,721579,24.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,721579,24.00,CS,20230908,FS,MA01,LCO,DD,CMB,0,1,2,,,PCNO(R),,,,,
D676,721004,718299,46.00,5858.52,192,721004,46.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,721004,46.00,CS,20230908,FS,MA01,LCO,DD,CMB,0,1,2,,,PCNO(R),,,,,
D676,721618,718300,5.00,4539.84,192,720203,5.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,720203,5.00,CS,20230908,FS,MA01,LCO,DD,CMB,0,1,2,,,PCNO FLEX,,,,,
D676,717901,718301,2.00,3654,480,717901,2.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,717901,2.00,CS,20230908,FS,MA01,,DD,CMB,0,1,2,,,PCNO FLEX,,,,,
D676,721026,718309,11.00,6564.2,40,721026,11.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,721026,11.00,CS,20230908,FS,MA01,LCO,DD,CMB,0,1,2,,,PCNO(R),,,,,
D676,704395,718312,100.00,320.1,20,704395,100.00,NOS,D Class,2,145,7961,VMI7961250423,20230908,704395,100.00,NOS,20230908,FS,MA01,LCO,DD,CMB,0,1,2,,,PCNO(R),,,,,
D676,719383,718316,1.00,7517.56,288,724098,1.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,724098,1.00,CS,20230908,MOQ not met,MA01,,DD,CMB,0,1,2,,,H&C,,,,,
D676,719387,718317,72.00,48.38,144,719387,72.00,NOS,D Class,2,145,7961,VMI7961250423,20230908,719387,72.00,NOS,20230908,M1,MA01,LCO,DD,CMB,0,1,2,,,H&C,,,,,
D676,700251,718325,2.00,3791,270,700251,2.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,700251,2.00,CS,20230908,MOQ not met,MA01,,DD,CMB,0,1,2,,,REV.ST.,,,,,
D676,706720,718328,39.00,3090.4,20,706720,39.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,706720,39.00,CS,20230908,FS,MA01,CO,DD,CMB,0,1,2,,,SAFF KOCO,,,,,
D676,700487,718339,15.00,2872.76,24,700487,15.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,700487,15.00,CS,20230908,FS,MA01,,DD,CMB,0,1,2,,,KERALA,,,,,
D676,723339,718341,4.00,3306.2,20,716986,4.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,716986,4.00,CS,20230908,FS,MA01,CO,DD,CMB,0,1,2,,,SAFF GOLD,,,,,
D676,720472,718343,1.00,14178.36,72,720472,1.00,CS,Non D Class,2,145,7961,VMI7961250423,20230908,720472,1.00,CS,20230908,MOQ not met,MA01,,DD,CMB,0,1,2,,,HC SNS,,,,,
