"TransactionID			",Report Type,Status,ProcessLog,RunDate
This Is Start Line,This Is Start Line,This Is Start Line,This Is Start Line,This Is Start Line
General,General,Process,Dear Team,<br><br>Robot has started RPA Piramal Reports Automation.<br><br>Thanks and Regards,<br>
 RPA Team<br>-------------------------------------------------------------------<br>This is auto generated email, please do no reply on this email.,26-05-2023 03:07:53
General,General,General,Reading Config File....,26-05-2023 03:07:56
General,General,General,Config Data has been added to dictionary,26-05-2023 03:07:57
General,General,General,Total Number of Transaction to be Processed:3,26-05-2023 03:07:57
General,General,General,Folder is Created at location for output folder:Data\Output\26-05-2023\NCARD_13,26-05-2023 03:07:57
General,General,General,Output Report File Creation Completed,26-05-2023 03:07:57
General,General,Process,Dear Team,<br><br>Robot has started RPA Piramal Reports Automation.<br><br>Thanks and Regards,<br>
 RPA Team<br>-------------------------------------------------------------------<br>This is auto generated email, please do no reply on this email.,26-05-2023 03:11:46
General,General,General,Reading Config File....,26-05-2023 03:11:49
General,General,General,Config Data has been added to dictionary,26-05-2023 03:11:49
General,General,General,Total Number of Transaction to be Processed:3,26-05-2023 03:11:50
General,General,General,Folder is Created at location for output folder:Data\Output\26-05-2023\NCARD_14,26-05-2023 03:11:50
General,General,General,Output Report File Creation Completed,26-05-2023 03:11:50
General,General,Failure,Application Access Failure,26-05-2023 03:12:15
General,General,General,RPA {Your Process} Process Interrupted due to :Application Access Failure at:Throw: System.Activities,26-05-2023 03:12:25
General,General,Process,Dear Team,<br><br>Robot has started RPA Piramal Reports Automation.<br><br>Thanks and Regards,<br>
 RPA Team<br>-------------------------------------------------------------------<br>This is auto generated email, please do no reply on this email.,26-05-2023 03:23:23
General,General,General,Reading Config File....,26-05-2023 03:23:26
General,General,Process,Dear Team,<br><br>Robot has started RPA Piramal Reports Automation.<br><br>Thanks and Regards,<br>
 RPA Team<br>-------------------------------------------------------------------<br>This is auto generated email, please do no reply on this email.,26-05-2023 03:23:36
General,General,General,Reading Config File....,26-05-2023 03:23:40
General,General,General,Config Data has been added to dictionary,26-05-2023 03:23:43
General,General,General,Total Number of Transaction to be Processed:3,26-05-2023 03:23:46
General,General,General,Folder is Created at location for output folder:Data\Output\26-05-2023\NCARD_15,26-05-2023 03:23:46
